MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NM,IIFLFIN,SEC RED NCD 9.85% SR. IV,       995.50,       999.50,       999.50,       999.50,       999.50,                     6996.50,7, ,1,      1031.00,       945.00
N,NN,ECLFINANCE,SEC RED NCD SR. II,       850.00,       840.00,       840.00,       840.00,       840.00,                     4200.00,5, ,1,      1150.00,       688.00
N,NN,IIFLFIN,UNSEC RED NCD 10% SR. V,       970.00,       962.00,       962.00,       962.00,       962.00,                    38480.00,40, ,2,      1005.00,       770.00
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       841.76,       840.00,       840.10,       840.00,       840.00,                    62162.00,74, ,3,       996.90,       761.05
N,NO,IRFC,TAX FREE  7.64% SR. 108A,      1262.00,      1264.99,      1264.99,      1264.99,      1264.99,                    12649.90,10, ,1,      1265.00,      1101.00
N,NP,DHFL,SEC RED NCD 9.25% SR. 3B,       230.59,       230.00,       230.00,       230.00,       230.00,                    23000.00,100, ,1,       725.00,       135.00
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,       850.00,       845.00,       845.00,       845.00,       845.00,                     9295.00,11, ,3,      1050.00,       680.00
N,NP,SREIBNPNCD,UNS RED NCD 9.30% SR. II,       640.00,       650.00,       700.00,       650.00,       700.00,                    16500.00,25, ,2,       870.00,       501.00
N,NQ,DHFL,SEC RED NCD 8.90% SR. I,       230.00,       225.40,       225.40,       225.40,       225.40,                     4508.00,20, ,2,       850.00,       142.00
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,       905.00,       860.00,       905.00,       860.00,       898.37,                  1612621.36,1810, ,34,      1007.00,       630.30
N,NS,DHFL,SEC RED NCD 9.00% SR. II,       250.00,       210.26,       250.00,       210.26,       230.00,                    44276.00,201, ,3,       721.00,       108.80
N,NS,ECLFINANCE,SEC RED NCD 10.6% SR. VII,       850.00,       856.00,       856.00,       850.00,       850.00,                   152651.01,179, ,5,      1062.15,       700.00
N,NV,SREIBNPNCD,UNS RED NCD 9.55% SR.VIII,       525.00,       525.10,       525.10,       525.00,       525.08,                    49883.00,95, ,2,       888.00,       525.00
N,NX,SREIBNPNCD,SEC RED NCD 9.60% SR. V,       803.00,       841.00,       875.00,       820.00,       850.00,                   156516.00,187, ,33,       890.00,       689.00
N,Y1,SREIBNPNCD,SEC RED NCD 9.12% SR. VI,       777.00,       756.00,       756.00,       700.00,       731.00,                   130858.89,177, ,16,       917.99,       649.00
N,Y2,SREIBNPNCD,SEC RED NCD 9.50% SR. VII,       809.00,       703.00,       750.00,       702.05,       750.00,                    21794.05,30, ,5,      1021.64,       682.00
N,Y3,L&TFINANCE,SE RE NCD 8.15% SR.III O6,       984.20,      1000.00,      1000.00,      1000.00,      1000.00,                    57000.00,57, ,3,      1030.25,       850.00
N,Y3,SRTRANSFIN,10.75% SEC RED NCD SIII,      1022.90,      1029.90,      1029.90,      1023.01,      1029.30,                   236513.90,231, ,6,      1138.40,       828.50
N,Y4,SREIBNPNCD,SEC RED NCD 8.43% SR. III,       800.00,       750.00,       750.00,       750.00,       750.00,                    21750.00,29, ,5,       800.00,       737.00
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1038.00,      1034.00,      1034.00,      1034.00,      1034.00,                    10340.00,10, ,1,      1039.00,       900.00
N,Y5,SREIBNPNCD,SEC RED NCD 8.75% SR. IV,       780.02,       800.00,       800.00,       800.00,       800.00,                    80000.00,100, ,4,       994.00,       641.00
N,Y7,SREIBNPNCD,SEC RED NCD 8.65% SR. VI,       733.80,       735.80,       735.80,       735.80,       735.80,                     3679.00,5, ,1,       738.80,       552.00
N,Y8,SREIBNPNCD,SEC RED NCD 9.00% SR. VII,       706.00,       665.00,       665.00,       665.00,       665.00,                     6650.00,10, ,1,       815.00,       665.00
N,Y9,L&TFINANCE,SE RE NCD 8.65% SR.VI O12,      1040.00,      1040.00,      1040.00,      1030.00,      1032.00,                   779729.51,755, ,26,      1057.95,       938.20
N,Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,      1055.00,      1070.00,      1070.00,      1070.00,      1070.00,                    53500.00,50, ,1,      1172.90,       979.00
N,YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,      1004.00,      1005.00,      1005.00,      1005.00,      1005.00,                   402000.00,400, ,12,      1060.00,       906.00
N,YG,SRTRANSFIN,BOND PA SRN S-VIII,      1794.40,      1825.00,      1825.00,      1825.00,      1825.00,                     7300.00,4, ,1,      1881.00,      1561.00
N,YH,SRTRANSFIN,SEC RED NCD 8.93% SR. I,       905.80,       895.00,       926.00,       895.00,       905.00,                   953039.10,1058, ,25,      1005.00,       830.00
N,YJ,SRTRANSFIN,SEC RED NCD 9.10% SR. III,      1010.00,      1005.06,      1010.00,      1005.05,      1010.00,                   351869.50,350, ,9,      1075.95,       900.00
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,       945.91,       945.01,       950.00,       940.00,       950.00,                   850129.53,899, ,23,      1060.90,       756.26
N,YL,SRTRANSFIN,SEC RED NCD 9.40% SR. V,       929.00,       917.11,       930.00,       917.11,       930.00,                   197031.10,212, ,4,      1065.00,       775.20
N,YN,SRTRANSFIN,SEC RED NCD SR. VII,      1010.71,      1011.05,      1011.05,      1011.05,      1011.05,                    25276.25,25, ,1,      1153.90,       912.50
N,YO,SRTRANSFIN,SEC RED NCD 9.12% SR. I,       914.84,       916.00,       916.00,       897.70,       897.70,                    41046.30,45, ,4,      1047.00,       771.05
N,YQ,SRTRANSFIN,SEC RED NCD 9.40% SR. III,       966.00,       975.60,       975.60,       975.60,       975.60,                     4878.00,5, ,1,      1059.80,       776.00
N,YS,SRTRANSFIN,SEC RED NCD 9.70% SR. V,       915.05,       965.00,       965.00,       965.00,       965.00,                    54040.00,56, ,4,      1089.99,       915.00
N,YT,SRTRANSFIN,SEC RED NCD SR. VI,      1044.90,      1044.50,      1044.50,      1044.50,      1044.50,                   203677.50,195, ,1,      1124.50,       844.20
N,YV,SRTRANSFIN,SEC RED NCD 9.12% SR. I,       918.76,       920.00,       938.90,       916.00,       931.38,                   178478.32,192, ,9,      1009.00,       875.00
N,YW,SRTRANSFIN,SEC RED NCD 9.30% SR. II,       925.00,       924.00,       930.00,       924.00,       930.00,                    41730.00,45, ,3,      1067.00,       880.00
N,YX,SRTRANSFIN,SEC RED NCD 9.40% SR. III,       937.00,       948.00,       950.00,       948.00,       950.00,                    94944.00,100, ,4,      1084.00,       831.00
N,YY,SRTRANSFIN,SEC RED NCD 9.50% SR. IV,       968.00,       980.00,       980.00,       968.00,       968.00,                     1948.00,2, ,2,      1170.10,       730.00
N,YZ,SRTRANSFIN,SEC RED NCD 9.70% SR. V,      1002.00,       950.00,       950.00,       950.00,       950.00,                   285000.00,300, ,11,      1086.00,       900.00
N,Z5,SRTRANSFIN,SEC RED NCD 9.31% SR.III,       918.00,       918.00,       918.00,       918.00,       918.00,                    24786.00,27, ,1,      1200.00,       801.05
N,Z9,SRTRANSFIN,SEC RED NCD 9.7% SR.VII,       920.00,       920.00,       920.00,       920.00,       920.00,                    92000.00,100, ,2,      1052.90,       900.00
