Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
971,NACLIND,EQ,46676,31239,66.93
972,NAGREEKCAP,EQ,5,5,100.00
973,NAGREEKEXP,EQ,3517,1320,37.53
974,NAHARCAP,EQ,1369,1291,94.30
975,NAHARINDUS,EQ,8084,6739,83.36
976,NAHARPOLY,EQ,12074,7906,65.48
977,NAHARSPING,EQ,120561,45924,38.09
978,NAM-INDIA,EQ,486913,198544,40.78
979,NATCOPHARM,EQ,493679,360490,73.02
980,NATHBIOGEN,EQ,4706,3173,67.42
981,NATIONALUM,EQ,10716384,4350531,40.60
982,NATNLSTEEL,EQ,17990,17990,100.00
983,NAUKRI,EQ,253231,58225,22.99
984,NAVINFLUOR,EQ,81551,16655,20.42
985,NAVKARCORP,EQ,171061,90102,52.67
986,NAVNETEDUL,EQ,24515,16986,69.29
987,NBCC,EQ,3557752,1774282,49.87
988,NBIFIN,EQ,101,85,84.16
989,NBVENTURES,EQ,22229,16070,72.29
990,NCC,EQ,15490735,3187842,20.58
991,NCLIND,EQ,59772,37329,62.45
992,NDGL,EQ,12,6,50.00
993,NDL,EQ,7436,5908,79.45
994,NDTV,EQ,19826,19825,99.99
995,NECCLTD,EQ,66525,46810,70.36
996,NECLIFE,EQ,84296,52719,62.54
997,NELCAST,EQ,30878,16167,52.36
998,NESCO,EQ,39861,27263,68.40
999,NESTLEIND,EQ,118300,63610,53.77
1000,NETF,EQ,1574,1314,83.48
1001,NETFCONSUM,EQ,2010,1930,96.02
1002,NETFDIVOPP,EQ,64,64,100.00
1003,NETFLTGILT,EQ,156582,135032,86.24
1004,NETFMID150,EQ,180244,174963,97.07
1005,NETFNIF100,EQ,551,352,63.88
1006,NETFNV20,EQ,3191,2708,84.86
1007,NETWORK18,EQ,677787,278002,41.02
1008,NEULANDLAB,EQ,151859,61473,40.48
1009,NEWGEN,EQ,19490,11979,61.46
1010,NFL,EQ,292432,112165,38.36
1011,NH,EQ,28688,16631,57.97
1012,NHAI,N1,1417,1417,100.00
1013,NHAI,N2,1020,845,82.84
1014,NHAI,N4,152,152,100.00
1015,NHAI,N6,240,210,87.50
1016,NHAI,N8,10,10,100.00
1017,NHAI,NA,2813,2542,90.37
1018,NHBTF2014,N6,107,99,92.52
1019,NHPC,EQ,1287557,639750,49.69
