Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2019-11-14,TCS,2187.5,2200.0,2146.7,2196.8,2995915,1188996,2183.42
2019-11-15,TCS,2196.0,2211.5,2168.75,2174.45,2724180,1528537,2191.82
2019-11-18,TCS,2178.4,2187.75,2148.75,2152.6,1611089,935177,2159.1
2019-11-19,TCS,2153.0,2154.65,2105.0,2108.8,2975313,1817909,2116.98
2019-11-20,TCS,2121.95,2135.0,2094.5,2108.55,2894129,1321728,2112.62
2019-11-21,TCS,2112.0,2126.6,2107.4,2118.1,2052574,1219100,2120.22
2019-11-22,TCS,2097.0,2107.0,2060.5,2071.7,3742049,2162742,2079.37
2019-11-25,TCS,2074.55,2084.95,2052.2,2081.5,2737010,1562308,2075.63
2019-11-26,TCS,2089.85,2097.9,2035.05,2046.65,6561580,4970094,2056.29
2019-11-27,TCS,2052.0,2071.7,2046.55,2054.3,2907521,2020463,2060.49
2019-11-28,TCS,2067.05,2094.4,2060.0,2077.35,2924429,1651510,2081.33
2019-11-29,TCS,2085.0,2085.0,2045.8,2053.25,2064271,1200921,2055.87
2019-12-02,TCS,2060.0,2067.7,2016.0,2021.05,3809860,2540551,2030.47
2019-12-03,TCS,2027.7,2062.0,2010.0,2051.0,4664774,2674853,2044.01
2019-12-04,TCS,2053.0,2082.0,2045.5,2078.5,3334301,2056925,2067.16
2019-12-05,TCS,2083.0,2126.8,2068.35,2121.3,3902721,2093683,2107.54
2019-12-06,TCS,2124.0,2128.0,2101.0,2123.6,1829461,815426,2116.56
2019-12-09,TCS,2127.95,2127.95,2053.5,2060.45,2244747,1047181,2079.93
2019-12-10,TCS,2060.0,2060.85,2003.25,2012.85,4520045,2272296,2020.99
2019-12-11,TCS,2025.4,2048.0,2006.75,2041.9,4943024,3004311,2032.84
2019-12-12,TCS,2051.1,2083.65,1984.0,2020.9,7137306,4452408,2039.92
2019-12-13,TCS,2023.0,2077.4,2007.0,2071.25,5711133,2245573,2050.09
2019-12-16,TCS,2096.0,2136.0,2080.3,2126.75,5574177,2852266,2116.76
2019-12-17,TCS,2126.5,2169.0,2119.0,2164.95,6059673,3457795,2154.7
2019-12-18,TCS,2174.0,2203.45,2153.0,2167.75,8251081,4520690,2182.48
2019-12-19,TCS,2179.8,2236.5,2167.55,2229.05,6251505,2570929,2202.61
2019-12-20,TCS,2220.0,2246.7,2208.25,2222.9,5548338,2675704,2225.89
2019-12-23,TCS,2210.0,2241.95,2210.0,2231.7,2247329,1168998,2229.75
2019-12-24,TCS,2239.0,2243.55,2211.15,2215.6,1805896,892665,2223.0
2019-12-26,TCS,2216.4,2229.0,2195.2,2201.95,1880367,832102,2207.75
2019-12-27,TCS,2208.0,2226.4,2176.0,2198.5,2720261,1285882,2192.11
2019-12-30,TCS,2207.0,2225.0,2177.1,2183.2,2288830,935920,2194.63
2019-12-31,TCS,2189.0,2197.0,2157.45,2161.7,1909289,837101,2171.67
2020-01-01,TCS,2168.0,2183.9,2154.0,2167.6,1354908,164490,2170.54
2020-01-02,TCS,2179.95,2179.95,2149.2,2157.65,2380752,1204079,2158.63
2020-01-03,TCS,2164.0,2223.0,2164.0,2200.65,4655761,1833823,2199.26
2020-01-06,TCS,2205.0,2225.95,2187.9,2200.45,3023209,1000021,2204.89
2020-01-07,TCS,2200.5,2214.65,2183.8,2205.85,2429317,966753,2203.53
2020-01-08,TCS,2205.0,2260.0,2202.05,2255.25,5197454,2288411,2240.22
2020-01-09,TCS,2248.75,2251.95,2210.0,2214.35,3734173,1805834,2223.77
2020-01-10,TCS,2228.0,2234.0,2208.0,2213.55,1915807,767417,2219.51
2020-01-13,TCS,2217.85,2218.95,2184.7,2190.35,2843893,1486327,2197.65
2020-01-14,TCS,2195.0,2229.8,2195.0,2206.9,2948452,1276382,2212.56
